GR;Count;Cons;Size;Col;Dis;Time;WtCns;En;Cap;Fast;PRG;NOI;Thrd;SLI;AUD;Con;SAL22;SAL23
TR;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;11;D;14;NO;7;44;YES;n.a.;NO;NO;0.001875974;0.001647751
WH;Germany;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;14;NO;9;41;YES;n.a.;NO;NO;0.000246757;0.001643951
WH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;12;F;14;NO;4;49;NO;NO;NO;NO;0.002092915;0.001639821
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;F;9;YES;4;48;YES;NO;NO;NO;0.000860273;0.001635173
WH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;9;E;14;NO;5;46;NO;NO;NO;NO;0,00;0.00160613
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;12;YES;6;44;NO;NO;NO;VOICE CONTROL;0.000797523;0.001589828
AR;Great Britain;FREESTANDING;FULLSIZE;ALL OTHER COL.;YES;YES;9;C;16;NO;n.a.;44;YES;n.a.;NO;NO;0.001470292;0.00158362
AR;Great Britain;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;NO;NO;9;E;10;YES;6;47;NO;NO;NO;NO;0.001167803;0.001568841
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;6;44;YES;NO;NO;VOICE CONTROL;0.00173611;0.001564545
AR;Great Britain;FREESTANDING;FULLSIZE;WHITE;YES;NO;12;E;13;NO;5;49;NO;n.a.;NO;NO;0.001394342;0.001551439
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;7;C;13;YES;8;44;YES;NO;NO;VOICE CONTROL;0.001784928;0.001533171
BH;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;F;12;NO;4;52;NO;NO;NO;NO;0.002229192;0.001502433
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;13;YES;6;44;YES;NO;NO;VOICE CONTROL;0.00049232;0.001501864
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;F;12;NO;4;52;NO;NO;NO;NO;0.002325561;0.001501594
WH;Germany;BUILT IN/UNDER;SLIMLINE;METAL LOOK;YES;YES;9;E;10;NO;9;41;YES;NO;NO;NO;0.000941094;0.001498819
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;D;14;NO;7;42;YES;NO;NO;NO;0.001919762;0.001490333
TR;Germany;BUILT IN/UNDER;FULLSIZE;METAL LOOK;NO;NO;11;E;12;NO;6;49;NO;NO;NO;NO;0.001159098;0.001478094
