Groups,Country,Construction,Size,Width,Height,Integration,Front Decoration,Display,Remaining Time,Water Cons.,Energy Efficiency Class,Capacity,Inverter Motor,Speed Function,Nr.of prog,Noise,Cutlery Drawer,Steam,Sliding Hinges,Auto Dosage,Smart Connect,Sales
WH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,NO,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0026
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,NO,NO,<5,45-50,NO,NO,NO,NO,NO,0,0026
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,F,9-11,YES,YES,<5,45-50,YES,NO,NO,NO,NO,0,0025
WH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0025
AR,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,ALL OTHER COL.,YES,YES,8-10,C,>15,YES,NO,n.a.,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,007
AR,Great Britain,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,9-11,YES,YES,5-10,45-50,NO,YES,NO,NO,NO,0,007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0024
AR,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,NO,11-15,E,12-14,NO,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,007
BH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,<8,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,007
BH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,YES,NO,<5,>50,NO,NO,NO,NO,NO,0,0129
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0023
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,YES,NO,<5,>50,NO,NO,NO,NO,NO,0,0023
WH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,NO,METAL LOOK,YES,YES,8-10,E,9-11,NO,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0023
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0023
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,METAL LOOK,NO,NO,11-15,E,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0023
EL,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,NO,NO,5-10,40-45,YES,NO,YES,NO,NO,0,0126
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0023
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0023
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,NO,<5,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0023
