Groups,Country,Construction,Size,Width,Height,Integration,Front Decoration,Display,Remaining Time,Water Cons.,Energy Efficiency Class,Capacity,Inverter Motor,Speed Function,Nr.of prog,Noise,Cutlery Drawer,Steam,Sliding Hinges,Auto Dosage,Smart Connect,Sales
AR,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,n.a.,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0086
AR,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0291
AR,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,n.a.,12-14,YES,NO,5-10,<40,NO,NO,NOT APPLICABLE,NO,NO,0,0002
AR,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,n.a.,n.a.,8-10,n.a.,12-14,NO,n.a.,5-10,n.a.,NO,NO,n.a.,NO,NO,0,002
AR,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,n.a.,NO,8-10,n.a.,9-11,YES,n.a.,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0074
AR,Israel,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,NO,NO,<8,n.a.,12-14,NO,n.a.,5-10,40-45,NO,NO,n.a.,n.a.,NO,0,0016
AR,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,n.a.,12-14,NO,n.a.,5-10,40-45,NO,NO,n.a.,n.a.,NO,0,0015
AR,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,STAINLESS STEEL,YES,NO,8-10,n.a.,12-14,YES,n.a.,5-10,40-45,NO,NO,NOT APPLICABLE,NO,NO,0,0047
AR,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,n.a.,n.a.,8-10,n.a.,12-14,NO,n.a.,5-10,n.a.,NO,NO,n.a.,NO,NO,0,0041
AR,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,NO,NO,11-15,E,12-14,NO,NO,5-10,45-50,YES,NO,NOT APPLICABLE,NO,NO,0,0033
AR,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,NO,NO,8-10,n.a.,12-14,NO,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0037
AR,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,n.a.,12-14,YES,YES,5-10,45-50,NO,YES,NOT APPLICABLE,NO,NO,0,0007
AR,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,n.a.,12-14,YES,YES,5-10,45-50,NO,YES,NOT APPLICABLE,NO,NO,0,0023
AR,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,n.a.,>15,YES,YES,5-10,40-45,YES,YES,NOT APPLICABLE,NO,NO,0,0013
AR,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,n.a.,>15,YES,YES,5-10,40-45,NO,YES,NOT APPLICABLE,NO,NO,0,0006
AR,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,n.a.,12-14,YES,YES,5-10,40-45,NO,YES,NO,NO,NO,0,0004
AR,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,>15,YES,YES,5-10,40-45,YES,YES,NO,NO,NO,0,0003
AR,Israel,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,n.a.,9-11,YES,YES,5-10,45-50,YES,YES,NO,NO,NO,0,0018
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,<5,45-50,NO,NO,NO,NO,NO,0,0002
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,NO,0,0007
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0002
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0008
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,NO,NO,8-10,E,12-14,YES,YES,<5,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0027
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,NO,0,001
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0001
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,E,12-14,YES,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,NO,0,0004
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,NO,0,0001
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,NO,<5,40-45,NO,NO,NO,NO,NO,0,0007
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,YES,YES,<5,45-50,NO,NO,NO,NO,NO,0,0001
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,YES,YES,<5,45-50,NO,NO,NO,NO,NO,0,0006
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,NO,0,0006
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,NO,0,0006
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,NO,0,0022
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0003
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,NO,<5,45-50,NO,NO,NO,NO,NO,0,0001
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,BLACK,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0007
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,NO,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0022
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0018
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,<8,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,NO,0,0001
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0032
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,WHITE,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0008
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0009
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0078
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0028
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0007
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,BLACK,YES,YES,8-10,n.a.,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0009
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0078
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,11-15,n.a.,12-14,n.a.,YES,5-10,45-50,NO,NO,NOT APPLICABLE,n.a.,NO,0,0005
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0001
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,NO,8-10,D,12-14,YES,NO,<5,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0114
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,NO,NO,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,SMART APP CTRL.,0,0107
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,NO,NO,8-10,n.a.,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,SMART APP CTRL.,0,008
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,D,12-14,YES,YES,5-10,n.a.,NO,NO,NOT APPLICABLE,NO,SMART APP CTRL.,0,0003
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,E,12-14,YES,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0002
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,n.a.,12-14,YES,YES,5-10,n.a.,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0023
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,n.a.,12-14,YES,YES,5-10,n.a.,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0056
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0002
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0029
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0005
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,NO,NO,8-10,n.a.,12-14,YES,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0116
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,NO,NO,8-10,E,12-14,NO,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0054
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0001
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,NO,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0003
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,E,12-14,YES,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0005
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,NO,NO,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0008
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,11-15,n.a.,12-14,YES,NO,<5,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0012
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,11-15,n.a.,12-14,YES,NO,<5,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0011
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,NO,<5,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0011
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,D,12-14,YES,NO,<5,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0021
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,n.a.,12-14,YES,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0042
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,n.a.,12-14,NO,NO,<5,n.a.,YES,NO,NOT APPLICABLE,NO,NO,0,0032
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,BLACK,YES,YES,8-10,n.a.,12-14,YES,NO,5-10,n.a.,YES,NO,NOT APPLICABLE,NO,NO,0,0046
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,NO,8-10,E,12-14,NO,YES,5-10,n.a.,YES,NO,NOT APPLICABLE,NO,NO,0,0047
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,n.a.,12-14,YES,YES,5-10,n.a.,YES,NO,NOT APPLICABLE,NO,NO,0,0021
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,YES,YES,<8,D,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,007
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,YES,YES,8-10,n.a.,12-14,YES,NO,<5,n.a.,YES,NO,NOT APPLICABLE,NO,SMART APP CTRL.,0,0043
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,n.a.,12-14,YES,NO,<5,n.a.,YES,NO,NOT APPLICABLE,NO,SMART APP CTRL.,0,0019
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0001
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0043
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,n.a.,12-14,YES,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0093
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0001
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,A,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0045
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0001
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0009
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0001
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,YES,YES,<8,E,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,SMART APP CTRL.,0,0001
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0004
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,11-15,n.a.,12-14,YES,YES,5-10,45-50,n.a.,NO,NOT APPLICABLE,NO,NO,0,0002
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,n.a.,12-14,NO,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,NO,0,0001
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,A,12-14,YES,NO,5-10,45-50,YES,NO,NOT APPLICABLE,NO,NO,0,0002
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,<8,E,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,NO,0,0001
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0025
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,<40,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0007
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,<8,D,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0003
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0006
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0004
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,001
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0003
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0003
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,n.a.,n.a.,12-14,NO,YES,5-10,n.a.,YES,NO,NOT APPLICABLE,NO,SMART APP CTRL.,0,0001
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0003
BH,Israel,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0011
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,YES,NO,<5,>50,NO,NO,NO,NO,NO,0,0015
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,YES,YES,<5,45-50,NO,NO,NO,NO,NO,0,0012
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,YES,NO,<5,45-50,NO,NO,n.a.,NO,NO,0,0054
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,NO,0,0054
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,SMART APP CTRL.,0,0116
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0236
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,NO,0,0001
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,NO,0,0001
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0031
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,<8,D,12-14,YES,NO,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0138
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0005
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0032
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,NO,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0319
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0005
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0068
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0046
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0006
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0136
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0001
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0016
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0015
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,n.a.,12-14,YES,YES,5-10,n.a.,YES,NO,NO,NO,VOICE CONTROL,0,0041
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0002
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0004
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0016
BH,Israel,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0094
